Date,Sulfur Dioxide AQI Value,Main Pollutant,Site Name,Site ID,Source,,,,,,,,
07/01/1993,56,,COMMUNITY HEALTH SERVICES (CHS),42-101-0047,AQS,,,,,,,,
07/02/1993,49,,A420450002LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0002,AQS,,,,,,,,
07/03/1993,61,,Clarksboro,34-015-0002,AQS,,,,,,,,
07/04/1993,49,,,10-003-2002,AQS,,,,,,,,
07/05/1993,69,,COMMUNITY HEALTH SERVICES (CHS),42-101-0047,AQS,,,,,,,,
07/06/1993,41,,,10-003-2002,AQS,,,,,,,,
07/07/1993,69,,Air Management Services Laboratory (AMS LAB),42-101-0004,AQS,,,,,,,,
07/08/1993,107,,,42-101-0022,AQS,,,,,,,,
07/09/1993,121,,,42-101-0022,AQS,,,,,,,,
07/10/1993,143,,,42-101-0022,AQS,,,,,,,,
07/11/1993,116,,,42-101-0022,AQS,,,,,,,,
07/12/1993,116,,,42-101-0022,AQS,,,,,,,,
07/13/1993,69,,,42-101-0022,AQS,,,,,,,,
07/14/1993,64,,Bellefonte River Road Park,10-003-1003,AQS,,,,,,,,
07/15/1993,82,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
07/16/1993,103,,,42-101-0022,AQS,,,,,,,,
07/17/1993,43,,,42-101-0022,AQS,,,,,,,,
07/18/1993,44,,,10-003-3001,AQS,,,,,,,,
07/19/1993,60,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
07/20/1993,112,,,42-101-0022,AQS,,,,,,,,
07/21/1993,103,,,42-101-0022,AQS,,,,,,,,
07/22/1993,108,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
07/23/1993,110,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
07/24/1993,82,,,10-003-2002,AQS,,,,,,,,
07/25/1993,61,,A420450002LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0002,AQS,,,,,,,,
07/26/1993,59,,,10-003-2002,AQS,,,,,,,,
07/27/1993,56,,Bellefonte River Road Park,10-003-1003,AQS,,,,,,,,
07/28/1993,94,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
07/29/1993,72,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
07/30/1993,112,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
07/31/1993,116,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
08/01/1993,67,,,10-003-3001,AQS,,,,,,,,
08/02/1993,194,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
08/03/1993,139,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
08/04/1993,71,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
08/05/1993,62,,,10-003-2002,AQS,,,,,,,,
08/06/1993,39,,A420450109LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0109,AQS,,,,,,,,
08/07/1993,43,,A420450109LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0109,AQS,,,,,,,,
08/08/1993,64,,,10-003-2002,AQS,,,,,,,,
08/09/1993,123,,,10-003-2002,AQS,,,,,,,,
08/10/1993,39,,Bellefonte River Road Park,10-003-1003,AQS,,,,,,,,
08/11/1993,69,,A420450002LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0002,AQS,,,,,,,,
08/12/1993,60,,,10-003-2002,AQS,,,,,,,,
08/13/1993,91,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
08/14/1993,40,,,10-003-2002,AQS,,,,,,,,
08/15/1993,169,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
08/16/1993,94,,,42-101-0029,AQS,,,,,,,,
08/17/1993,43,,ON AMTRAK RIGHT OF WAY - NEAR AIRPORT HI SPEED LINE (ELECTRIFIED),42-101-0136,AQS,,,,,,,,
08/18/1993,30,,BURLINGTON,34-005-1001,AQS,,,,,,,,
08/19/1993,99,,Bellefonte River Road Park,10-003-1003,AQS,,,,,,,,
08/20/1993,153,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
08/21/1993,43,,,42-101-0022,AQS,,,,,,,,
08/22/1993,86,,Bellefonte River Road Park,10-003-1003,AQS,,,,,,,,
08/23/1993,103,,,42-101-0029,AQS,,,,,,,,
08/24/1993,72,,,10-003-2002,AQS,,,,,,,,
08/25/1993,77,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
08/26/1993,87,,Bellefonte River Road Park,10-003-1003,AQS,,,,,,,,
08/27/1993,71,,A420450109LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0109,AQS,,,,,,,,
08/28/1993,69,,Air Management Services Laboratory (AMS LAB),42-101-0004,AQS,,,,,,,,
08/29/1993,37,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
08/30/1993,70,,,10-003-3001,AQS,,,,,,,,
08/31/1993,103,,Bellefonte River Road Park,10-003-1003,AQS,,,,,,,,
09/01/1993,47,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
09/02/1993,85,,,10-003-2002,AQS,,,,,,,,
09/03/1993,66,,Bellefonte River Road Park,10-003-1003,AQS,,,,,,,,
09/04/1993,97,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
09/05/1993,65,,,10-003-2002,AQS,,,,,,,,
09/06/1993,84,,Bellefonte River Road Park,10-003-1003,AQS,,,,,,,,
09/07/1993,94,,,42-101-0022,AQS,,,,,,,,
09/08/1993,50,,,10-003-2002,AQS,,,,,,,,
09/09/1993,69,,Bellefonte River Road Park,10-003-1003,AQS,,,,,,,,
09/10/1993,112,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
09/11/1993,133,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
09/12/1993,52,,,10-003-2002,AQS,,,,,,,,
